,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_pagePath,ga_exitPagePath,ga_pageDepth,ga_pageviews,ga_timeOnPage,ga_pageviewsPerSession,ga_avgTimeOnPage
180,2022-06-27 09:10,Hanoi,Vietnam,desktop,/cart/,/,19,1.0,5.0,0.0,5.0
181,2022-06-27 09:10,Hanoi,Vietnam,desktop,/checkout/,/,19,1.0,15.0,0.0,15.0
182,2022-06-27 09:10,Hanoi,Vietnam,desktop,/checkout/order-received/117/?key=wc_order_5uxjB9YK1QOui,/,19,1.0,810.0,0.0,810.0
183,2022-06-27 09:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-data-analytics/,/,19,1.0,5.0,0.0,5.0
184,2022-06-27 09:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-power-bi/,/,19,1.0,7.0,0.0,7.0
185,2022-06-27 09:10,Hanoi,Vietnam,desktop,/shop/,/,19,1.0,4.0,0.0,4.0
186,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,173.0,0.0,173.0
187,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,5.0,0.0,5.0
188,2022-06-27 09:10,Hanoi,Vietnam,desktop,/cart/,/,19,1.0,4.0,0.0,4.0
189,2022-06-27 09:10,Hanoi,Vietnam,desktop,/checkout/,/,19,1.0,15.0,0.0,15.0
190,2022-06-27 09:10,Hanoi,Vietnam,desktop,/checkout/order-received/119/?key=wc_order_5Vg9ffn89K5b0,/,19,1.0,830.0,0.0,830.0
191,2022-06-27 09:10,Hanoi,Vietnam,desktop,/shop/,/,19,1.0,9.0,0.0,9.0
192,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,294.0,0.0,294.0
193,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,201.0,0.0,201.0
194,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
195,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,0.0,0.0,0.0
196,2022-06-27 09:10,Hanoi,Vietnam,mobile,/,/,1,1.0,0.0,1.0,0.0
197,2022-06-27 09:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656298173767,/,15,1.0,13.0,1.0,13.0
198,2022-06-27 09:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656298187643,/,15,1.0,19.0,0.0,19.0
199,2022-06-27 09:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656298205851,/,15,1.0,11.0,0.0,11.0
200,2022-06-27 09:10,Hanoi,Vietnam,desktop,/product/power-bi-server/,/,15,1.0,245.0,0.0,245.0
201,2022-06-27 09:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656298461969,/,15,1.0,122.0,0.0,122.0
202,2022-06-27 09:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656298582793,/,15,1.0,21.0,0.0,21.0
203,2022-06-27 09:10,Hanoi,Vietnam,desktop,/checkout/,/,15,1.0,72.0,0.0,72.0
204,2022-06-27 09:10,Hanoi,Vietnam,desktop,/my-account/,/,15,1.0,659.0,0.0,659.0
205,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299336724,/,15,1.0,62.0,0.0,62.0
206,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299399150,/,15,1.0,18.0,0.0,18.0
207,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299417262,/,15,1.0,19.0,0.0,19.0
208,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299436701,/,15,1.0,143.0,0.0,143.0
209,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299579170,/,15,1.0,193.0,0.0,193.0
210,2022-06-27 10:10,Hanoi,Vietnam,desktop,/?gtm_debug=1656299772516,/,15,1.0,370.0,0.0,370.0
211,2022-06-27 10:10,Hanoi,Vietnam,desktop,/,/,15,1.0,0.0,0.0,0.0
212,2022-06-27 10:10,Hanoi,Vietnam,desktop,/,/cart/,3,1.0,30.0,1.0,30.0
213,2022-06-27 10:10,Hanoi,Vietnam,desktop,/cart/,/cart/,3,2.0,13.0,0.0,13.0
214,2022-06-27 11:10,Hanoi,Vietnam,desktop,/,/,5,2.0,468.0,2.0,234.0
215,2022-06-27 11:10,Hanoi,Vietnam,desktop,/?customize_changeset_uuid=f2398cbe-fb78-4a72-a416-419bd19c196f&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,/,5,1.0,351.0,0.0,351.0
216,2022-06-27 11:10,Hanoi,Vietnam,desktop,/?customize_changeset_uuid=c4353d1e-9998-4e95-a7df-c9c8833a7edf&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,/,5,1.0,580.0,0.0,580.0
217,2022-06-27 11:10,Hanoi,Vietnam,desktop,/,/,5,1.0,0.0,0.0,0.0
218,2022-06-27 13:10,Hanoi,Vietnam,desktop,/,/,2,1.0,1668.0,1.0,1668.0
219,2022-06-27 14:10,Hanoi,Vietnam,desktop,/,/,2,1.0,0.0,0.0,0.0
220,2022-06-27 14:10,Hanoi,Vietnam,desktop,/,/,4,1.0,13.0,1.0,13.0
221,2022-06-27 14:10,Hanoi,Vietnam,desktop,/product/power-bi-embedded/,/,4,1.0,722.0,0.0,722.0
222,2022-06-27 14:10,Hanoi,Vietnam,desktop,/,/,4,1.0,488.0,0.0,488.0
223,2022-06-27 14:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
224,2022-06-27 15:10,Hanoi,Vietnam,desktop,/,/,4,1.0,0.0,0.0,0.0
225,2022-06-27 15:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
