,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_users,ga_pageviews,ga_bounces,ga_sessions,ga_timeOnPage
129,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,294.0
130,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,201.0
131,2022-06-27 09:10,Hanoi,Vietnam,desktop,2.0,2.0,1.0,1.0,0.0
132,2022-06-27 09:10,Hanoi,Vietnam,mobile,1.0,1.0,1.0,1.0,0.0
133,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,1.0,32.0
134,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,256.0
135,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,122.0
136,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,93.0
137,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,659.0
138,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,62.0
139,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,180.0
140,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,193.0
141,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,370.0
142,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
143,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,30.0
144,2022-06-27 10:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,13.0
145,2022-06-27 11:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,1.0,468.0
146,2022-06-27 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,351.0
147,2022-06-27 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,580.0
148,2022-06-27 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
149,2022-06-27 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1668.0
150,2022-06-27 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
151,2022-06-27 14:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,1.0,735.0
152,2022-06-27 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,488.0
153,2022-06-27 14:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
154,2022-06-27 15:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
155,2022-06-27 15:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
156,2022-06-28 09:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
157,2022-06-28 09:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,1.0,800.0
158,2022-06-28 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
159,2022-06-28 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,255.0
160,2022-06-28 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,1325.0
161,2022-06-28 11:10,Hanoi,Vietnam,desktop,2.0,2.0,1.0,1.0,1425.0
162,2022-06-28 11:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,1.0,285.0
163,2022-06-28 11:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,1.0,247.0
164,2022-06-28 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,13.0
165,2022-06-28 11:10,Hanoi,Vietnam,desktop,2.0,4.0,0.0,0.0,12.0
166,2022-06-28 11:10,Hanoi,Vietnam,desktop,2.0,2.0,1.0,1.0,0.0
167,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1737.0
168,2022-06-28 13:10,Hanoi,Vietnam,desktop,2.0,2.0,1.0,1.0,0.0
169,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,191.0
170,2022-06-28 13:10,Hanoi,Vietnam,desktop,2.0,9.0,0.0,1.0,47.0
171,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,4.0,0.0,0.0,44.0
172,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,100.0
173,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,447.0
174,2022-06-28 13:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,474.0
175,2022-06-28 14:10,Hanoi,Vietnam,desktop,2.0,8.0,0.0,0.0,328.0
176,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,146.0
177,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
178,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,153.0
179,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,38.0
180,2022-06-28 14:10,Hanoi,Vietnam,desktop,2.0,9.0,0.0,1.0,240.0
181,2022-06-28 14:10,Hanoi,Vietnam,desktop,2.0,5.0,0.0,0.0,263.0
182,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,13.0
183,2022-06-28 14:10,Hanoi,Vietnam,desktop,1.0,2.0,0.0,0.0,92.0
184,2022-06-28 14:10,Hanoi,Vietnam,desktop,2.0,5.0,0.0,0.0,13.0
185,2022-06-28 17:10,Bien Hoa,Vietnam,desktop,1.0,2.0,0.0,1.0,0.0
