,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_sessionDurationBucket,ga_sessions,ga_bounces,ga_bounceRate,ga_sessionDuration,ga_avgSessionDuration,ga_hits
109,2022-06-23 15:10,Hanoi,Vietnam,desktop,202,0.0,0.0,0.0,0.0,0.0,3.0
110,2022-06-23 17:10,Wilmington Manor,United States,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
111,2022-06-23 17:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
112,2022-06-24 08:10,Hanoi,Vietnam,desktop,759,1.0,0.0,0.0,759.0,759.0,1.0
113,2022-06-24 08:10,Hanoi,Vietnam,desktop,759,0.0,0.0,0.0,0.0,0.0,3.0
114,2022-06-24 10:10,Hanoi,Vietnam,desktop,790,1.0,0.0,0.0,790.0,790.0,1.0
115,2022-06-24 10:10,Hanoi,Vietnam,desktop,790,0.0,0.0,0.0,0.0,0.0,1.0
116,2022-06-24 10:10,Hanoi,Vietnam,desktop,790,0.0,0.0,0.0,0.0,0.0,1.0
117,2022-06-24 10:10,Hanoi,Vietnam,desktop,1708,1.0,0.0,0.0,1708.0,1708.0,1.0
118,2022-06-24 11:10,Hanoi,Vietnam,desktop,1708,0.0,0.0,0.0,0.0,0.0,1.0
119,2022-06-24 11:10,Hanoi,Vietnam,desktop,1708,0.0,0.0,0.0,0.0,0.0,1.0
120,2022-06-24 15:10,Bengaluru,India,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
121,2022-06-24 17:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
122,2022-06-24 17:10,Bengaluru,India,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
123,2022-06-24 21:10,Paris,France,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
124,2022-06-27 08:10,Hanoi,Vietnam,desktop,2562,1.0,0.0,0.0,2562.0,2562.0,1.0
125,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,3.0
126,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,6.0
127,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,1.0
128,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,1.0
129,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,4.0
130,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,1.0
131,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,1.0
132,2022-06-27 09:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
133,2022-06-27 09:10,Hanoi,Vietnam,desktop,2562,0.0,0.0,0.0,0.0,0.0,1.0
134,2022-06-27 09:10,Hanoi,Vietnam,mobile,0,1.0,1.0,100.0,0.0,0.0,1.0
135,2022-06-27 09:10,Hanoi,Vietnam,desktop,1968,1.0,0.0,0.0,1968.0,1968.0,2.0
136,2022-06-27 09:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,2.0
137,2022-06-27 09:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
138,2022-06-27 09:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,2.0
139,2022-06-27 09:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
140,2022-06-27 10:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
141,2022-06-27 10:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,3.0
142,2022-06-27 10:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
143,2022-06-27 10:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
144,2022-06-27 10:10,Hanoi,Vietnam,desktop,1968,0.0,0.0,0.0,0.0,0.0,1.0
145,2022-06-27 10:10,Hanoi,Vietnam,desktop,43,1.0,0.0,0.0,43.0,43.0,1.0
146,2022-06-27 10:10,Hanoi,Vietnam,desktop,43,0.0,0.0,0.0,0.0,0.0,2.0
147,2022-06-27 11:10,Hanoi,Vietnam,desktop,1398,1.0,0.0,0.0,1398.0,1398.0,4.0
148,2022-06-27 11:10,Hanoi,Vietnam,desktop,1398,0.0,0.0,0.0,0.0,0.0,2.0
149,2022-06-27 11:10,Hanoi,Vietnam,desktop,1398,0.0,0.0,0.0,0.0,0.0,2.0
150,2022-06-27 11:10,Hanoi,Vietnam,desktop,1398,0.0,0.0,0.0,0.0,0.0,2.0
151,2022-06-27 13:10,Hanoi,Vietnam,desktop,1668,1.0,0.0,0.0,1668.0,1668.0,1.0
152,2022-06-27 14:10,Hanoi,Vietnam,desktop,1668,0.0,0.0,0.0,0.0,0.0,1.0
153,2022-06-27 14:10,Hanoi,Vietnam,desktop,1223,1.0,0.0,0.0,1223.0,1223.0,2.0
154,2022-06-27 14:10,Hanoi,Vietnam,desktop,1223,0.0,0.0,0.0,0.0,0.0,1.0
155,2022-06-27 14:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
156,2022-06-27 15:10,Hanoi,Vietnam,desktop,1223,0.0,0.0,0.0,0.0,0.0,1.0
157,2022-06-27 15:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
