,ga_hostname,ga_pagePath,ga_pageTitle,ga_landingPagePath,ga_secondPagePath,ga_exitPagePath,ga_pageDepth,ga_pageValue,ga_entrances,ga_entranceRate,ga_pageviews,ga_uniquePageviews,ga_exits,ga_exitRate
50,ga.kpim.vn,/?gtm_debug=1656299772516,Homepage -,/?gtm_debug=1656298173767,/?gtm_debug=1656298187643,/,15,0.0,0.0,0.0,1.0,1.0,0.0,0.0
51,ga.kpim.vn,/2022/06/16/hello-world/,Hello world! - GA,/,/,/cart/,25,0.0,0.0,0.0,4.0,1.0,0.0,0.0
52,ga.kpim.vn,/2022/06/16/hello-world/?customize_changeset_uuid=e97e55ea-dc49-4827-b4fa-52e2514001e3&customize_theme=twentytwentytwo&customize_messenger_channel=preview-0,Hello world! – GA,/,/,/cart/,25,0.0,0.0,0.0,1.0,1.0,0.0,0.0
53,ga.kpim.vn,/cart/,Cart -,/,/,/,19,0.0,0.0,0.0,2.0,1.0,0.0,0.0
54,ga.kpim.vn,/cart/,Cart -,/,/,/,42,0.0,0.0,0.0,1.0,1.0,0.0,0.0
55,ga.kpim.vn,/cart/,Cart -,/,/,/,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
56,ga.kpim.vn,/cart/,Cart -,/,/,/cart/,4,0.0,0.0,0.0,2.0,2.0,2.0,100.0
57,ga.kpim.vn,/cart/,Cart -,/,/,/product/khoa-hoc-data-analytics/,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0
58,ga.kpim.vn,/cart/,Cart -,/,/cart/,/,11,0.0,0.0,0.0,1.0,1.0,0.0,0.0
59,ga.kpim.vn,/cart/,Cart -,/,/cart/,/cart/,3,0.0,0.0,0.0,2.0,1.0,1.0,50.0
60,ga.kpim.vn,/cart/,Cart -,/,/cart/,/checkout/order-received/116/?key=wc_order_4MtnpSB33fkV8,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
61,ga.kpim.vn,/cart/,Cart -,/,/cart/,/checkout/order-received/121/?key=wc_order_GjfAC3QGWioUM,6,0.0,0.0,0.0,2.0,1.0,0.0,0.0
62,ga.kpim.vn,/cart/,Cart -,/,/product/dich-vu-tu-van-giai-phap/,/shop/,9,0.0,0.0,0.0,2.0,1.0,0.0,0.0
63,ga.kpim.vn,/cart/,Cart -,/,/shop/,/cart/,3,0.0,0.0,0.0,1.0,1.0,1.0,100.0
64,ga.kpim.vn,/cart/,Cart -,/cart/,(not set),/cart/,1,0.0,1.0,100.0,1.0,1.0,1.0,100.0
65,ga.kpim.vn,/cart/,Cart -,/cart/,/cart/,/product/dich-vu-tu-van-giai-phap/,7,0.0,1.0,50.0,2.0,1.0,0.0,0.0
66,ga.kpim.vn,/cart/,Cart -,/product/power-bi-embedded/,/,/checkout/,19,0.0,0.0,0.0,1.0,1.0,0.0,0.0
67,ga.kpim.vn,/cart/,Cart - GA,/,/,/,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
68,ga.kpim.vn,/cart/,Cart - Google Analytics,/,/,/cart/,25,0.0,0.0,0.0,3.0,1.0,1.0,33.33333333333333
